sciName	kingdom	taxID	locus	GOID	GOTerm
Arabidopsis thaliana	eukaryota	3702	AT1G09540	GO:0010214	seed coat development
Arabidopsis thaliana	eukaryota	3702	AT1G09970	GO:0009845	seed germination
Arabidopsis thaliana	eukaryota	3702	AT1G10130	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G10270	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G10370	GO:0009704	de-etiolation
Arabidopsis thaliana	eukaryota	3702	AT1G10370	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G10470	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G10510	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G10570	GO:0010228	vegetative to reproductive phase transition of meristem
Arabidopsis thaliana	eukaryota	3702	AT1G10670	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G10770	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G11130	GO:0010071	root meristem specification
Arabidopsis thaliana	eukaryota	3702	AT1G11130	GO:0022621	shoot system development
Arabidopsis thaliana	eukaryota	3702	AT1G11130	GO:0048437	floral organ development
Arabidopsis thaliana	eukaryota	3702	AT1G11130	GO:0048481	ovule development
Arabidopsis thaliana	eukaryota	3702	AT1G11680	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G11870	GO:0048481	ovule development
Arabidopsis thaliana	eukaryota	3702	AT1G12040	GO:0000904	cell morphogenesis involved in differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G12040	GO:0010054	trichoblast differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G12260	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G12560	GO:0048767	root hair elongation
Arabidopsis thaliana	eukaryota	3702	AT1G12770	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G12820	GO:0080022	primary root development
Arabidopsis thaliana	eukaryota	3702	AT1G12820	GO:0010152	pollen maturation
Arabidopsis thaliana	eukaryota	3702	AT1G12820	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G12820	GO:0048443	stamen development
Arabidopsis thaliana	eukaryota	3702	AT1G12860	GO:0010444	guard mother cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G12910	GO:0048573	photoperiodism, flowering
Arabidopsis thaliana	eukaryota	3702	AT1G12980	GO:0010084	specification of organ axis polarity
Arabidopsis thaliana	eukaryota	3702	AT1G12980	GO:0009880	embryonic pattern specification
Arabidopsis thaliana	eukaryota	3702	AT1G12980	GO:0048825	cotyledon development
Arabidopsis thaliana	eukaryota	3702	AT1G12980	GO:0009887	organ morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G13120	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G13180	GO:0010090	trichome morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G13245	GO:0048367	shoot development
Arabidopsis thaliana	eukaryota	3702	AT1G13260	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G13260	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G13290	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G13290	GO:0048367	shoot development
Arabidopsis thaliana	eukaryota	3702	AT1G13290	GO:0010588	cotyledon vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G13290	GO:0010305	leaf vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G13300	GO:0080022	primary root development
Arabidopsis thaliana	eukaryota	3702	AT1G13400	GO:0048440	carpel development
Arabidopsis thaliana	eukaryota	3702	AT1G13400	GO:0048443	stamen development
Arabidopsis thaliana	eukaryota	3702	AT1G13400	GO:0048653	anther development
Arabidopsis thaliana	eukaryota	3702	AT1G13620	GO:0010082	regulation of root meristem growth
Arabidopsis thaliana	eukaryota	3702	AT1G13710	GO:0010075	regulation of meristem growth
Arabidopsis thaliana	eukaryota	3702	AT1G13710	GO:0010338	leaf formation
Arabidopsis thaliana	eukaryota	3702	AT1G13710	GO:0048437	floral organ development
Arabidopsis thaliana	eukaryota	3702	AT1G13870	GO:0009933	meristem structural organization
Arabidopsis thaliana	eukaryota	3702	AT1G13870	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G13980	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G13980	GO:0009942	longitudinal axis specification
Arabidopsis thaliana	eukaryota	3702	AT1G13980	GO:0010386	lateral root primordium development
Arabidopsis thaliana	eukaryota	3702	AT1G13980	GO:0009880	embryonic pattern specification
Arabidopsis thaliana	eukaryota	3702	AT1G13980	GO:0048765	root hair cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G14000	GO:0010305	leaf vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G14280	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G14290	GO:0009640	photomorphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G14350	GO:0010052	guard cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G14400	GO:0010228	vegetative to reproductive phase transition of meristem
Arabidopsis thaliana	eukaryota	3702	AT1G14400	GO:0009965	leaf morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G14610	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G14720	GO:0080086	stamen filament development
Arabidopsis thaliana	eukaryota	3702	AT1G14760	GO:0010589	leaf proximal/distal pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G14830	GO:0010152	pollen maturation
Arabidopsis thaliana	eukaryota	3702	AT1G15220	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G15690	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G15750	GO:0010072	primary shoot apical meristem specification
Arabidopsis thaliana	eukaryota	3702	AT1G15750	GO:0010051	xylem and phloem pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G16060	GO:0009887	organ morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G16280	GO:0009553	embryo sac development
Arabidopsis thaliana	eukaryota	3702	AT1G16280	GO:0009561	megagametogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G16280	GO:0009791	post-embryonic development
Arabidopsis thaliana	eukaryota	3702	AT1G16300	GO:0080022	primary root development
Arabidopsis thaliana	eukaryota	3702	AT1G16710	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G16890	GO:0010053	root epidermal cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G17020	GO:0010260	organ senescence
Arabidopsis thaliana	eukaryota	3702	AT1G17110	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G17110	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G17110	GO:0048367	shoot development
Arabidopsis thaliana	eukaryota	3702	AT1G17110	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G17420	GO:0009901	anther dehiscence
Arabidopsis thaliana	eukaryota	3702	AT1G17420	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G17420	GO:0080086	stamen filament development
Arabidopsis thaliana	eukaryota	3702	AT1G17420	GO:0048653	anther development
Arabidopsis thaliana	eukaryota	3702	AT1G17580	GO:0009791	post-embryonic development
Arabidopsis thaliana	eukaryota	3702	AT1G17690	GO:0009553	embryo sac development
Arabidopsis thaliana	eukaryota	3702	AT1G17690	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G17730	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G17730	GO:0000578	embryonic axis specification
Arabidopsis thaliana	eukaryota	3702	AT1G17760	GO:0009553	embryo sac development
Arabidopsis thaliana	eukaryota	3702	AT1G17920	GO:0010091	trichome branching
Arabidopsis thaliana	eukaryota	3702	AT1G18080	GO:0009845	seed germination
Arabidopsis thaliana	eukaryota	3702	AT1G18370	GO:0009558	embryo sac cellularization
Arabidopsis thaliana	eukaryota	3702	AT1G18370	GO:0048229	gametophyte development
Arabidopsis thaliana	eukaryota	3702	AT1G18370	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G18450	GO:0048235	pollen sperm cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G18450	GO:0048574	long-day photoperiodism, flowering
Arabidopsis thaliana	eukaryota	3702	AT1G18750	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G18800	GO:0010311	lateral root formation
Arabidopsis thaliana	eukaryota	3702	AT1G18800	GO:0030154	cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G19050	GO:0019827	stem cell maintenance
Arabidopsis thaliana	eukaryota	3702	AT1G19080	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G19180	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G19180	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G19220	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G19220	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G19220	GO:0010386	lateral root primordium development
Arabidopsis thaliana	eukaryota	3702	AT1G19270	GO:0048482	ovule morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G19270	GO:0048317	seed morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G19300	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G19300	GO:0010051	xylem and phloem pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G19440	GO:0042335	cuticle development
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0009942	longitudinal axis specification
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0010305	leaf vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0048507	meristem development
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G19850	GO:0010051	xylem and phloem pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G19890	GO:0048235	pollen sperm cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G20090	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G20200	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G20330	GO:0007389	pattern specification process
Arabidopsis thaliana	eukaryota	3702	AT1G20330	GO:0010051	xylem and phloem pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G20700	GO:0010072	primary shoot apical meristem specification
Arabidopsis thaliana	eukaryota	3702	AT1G20780	GO:0010150	leaf senescence
Arabidopsis thaliana	eukaryota	3702	AT1G20850	GO:0010623	developmental programmed cell death
Arabidopsis thaliana	eukaryota	3702	AT1G20900	GO:0009640	photomorphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G20900	GO:0010150	leaf senescence
Arabidopsis thaliana	eukaryota	3702	AT1G20960	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G21170	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G21210	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G21390	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G21650	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G21690	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G21750	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G21750	GO:0048316	seed development
Arabidopsis thaliana	eukaryota	3702	AT1G21970	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G21970	GO:0010262	somatic embryogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G22090	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G22130	GO:0009555	pollen development
Arabidopsis thaliana	eukaryota	3702	AT1G22740	GO:0010623	developmental programmed cell death
Arabidopsis thaliana	eukaryota	3702	AT1G22770	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G22920	GO:0009640	photomorphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G22920	GO:0010093	specification of floral organ identity
Arabidopsis thaliana	eukaryota	3702	AT1G23010	GO:0010073	meristem maintenance
Arabidopsis thaliana	eukaryota	3702	AT1G23080	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G23080	GO:0009942	longitudinal axis specification
Arabidopsis thaliana	eukaryota	3702	AT1G23080	GO:0007389	pattern specification process
Arabidopsis thaliana	eukaryota	3702	AT1G23190	GO:0048229	gametophyte development
Arabidopsis thaliana	eukaryota	3702	AT1G23320	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G23320	GO:0080022	primary root development
Arabidopsis thaliana	eukaryota	3702	AT1G23320	GO:0010588	cotyledon vascular tissue pattern formation
Arabidopsis thaliana	eukaryota	3702	AT1G23320	GO:0048825	cotyledon development
Arabidopsis thaliana	eukaryota	3702	AT1G23380	GO:0010073	meristem maintenance
Arabidopsis thaliana	eukaryota	3702	AT1G23420	GO:0009944	polarity specification of adaxial/abaxial axis
Arabidopsis thaliana	eukaryota	3702	AT1G23420	GO:0048481	ovule development
Arabidopsis thaliana	eukaryota	3702	AT1G24260	GO:0010093	specification of floral organ identity
Arabidopsis thaliana	eukaryota	3702	AT1G24260	GO:0048833	specification of floral organ number
Arabidopsis thaliana	eukaryota	3702	AT1G24260	GO:0001708	cell fate specification
Arabidopsis thaliana	eukaryota	3702	AT1G24260	GO:0048481	ovule development
Arabidopsis thaliana	eukaryota	3702	AT1G24260	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G24340	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G24520	GO:0048235	pollen sperm cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G24590	GO:0009880	embryonic pattern specification
Arabidopsis thaliana	eukaryota	3702	AT1G24590	GO:0048825	cotyledon development
Arabidopsis thaliana	eukaryota	3702	AT1G24620	GO:0048767	root hair elongation
Arabidopsis thaliana	eukaryota	3702	AT1G25220	GO:0010386	lateral root primordium development
Arabidopsis thaliana	eukaryota	3702	AT1G25310	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G25350	GO:0048481	ovule development
Arabidopsis thaliana	eukaryota	3702	AT1G25450	GO:0048868	pollen tube development
Arabidopsis thaliana	eukaryota	3702	AT1G25450	GO:0042335	cuticle development
Arabidopsis thaliana	eukaryota	3702	AT1G25560	GO:0048573	photoperiodism, flowering
Arabidopsis thaliana	eukaryota	3702	AT1G25580	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G26310	GO:0010582	floral meristem determinacy
Arabidopsis thaliana	eukaryota	3702	AT1G26780	GO:0010199	organ boundary specification between lateral organs and the meristem
Arabidopsis thaliana	eukaryota	3702	AT1G26830	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G26830	GO:0009960	endosperm development
Arabidopsis thaliana	eukaryota	3702	AT1G26870	GO:0048829	root cap development
Arabidopsis thaliana	eukaryota	3702	AT1G26870	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G27080	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G27080	GO:0048316	seed development
Arabidopsis thaliana	eukaryota	3702	AT1G27320	GO:0010150	leaf senescence
Arabidopsis thaliana	eukaryota	3702	AT1G27370	GO:0010358	leaf shaping
Arabidopsis thaliana	eukaryota	3702	AT1G27380	GO:0009860	pollen tube growth
Arabidopsis thaliana	eukaryota	3702	AT1G27640	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G27650	GO:0048573	photoperiodism, flowering
Arabidopsis thaliana	eukaryota	3702	AT1G27740	GO:0048766	root hair initiation
Arabidopsis thaliana	eukaryota	3702	AT1G28300	GO:0010431	seed maturation
Arabidopsis thaliana	eukaryota	3702	AT1G28300	GO:0010262	somatic embryogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G28300	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G28300	GO:0010344	seed oilbody biogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G28470	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G28560	GO:0009887	organ morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G29410	GO:0007275	multicellular organismal development
Arabidopsis thaliana	eukaryota	3702	AT1G30000	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G30210	GO:0048366	leaf development
Arabidopsis thaliana	eukaryota	3702	AT1G30210	GO:0009965	leaf morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G30210	GO:0030154	cell differentiation
Arabidopsis thaliana	eukaryota	3702	AT1G30330	GO:0009908	flower development
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0009944	polarity specification of adaxial/abaxial axis
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0009943	adaxial/abaxial axis specification
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0080060	integument development
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0009880	embryonic pattern specification
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0009855	determination of bilateral symmetry
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0010072	primary shoot apical meristem specification
Arabidopsis thaliana	eukaryota	3702	AT1G30490	GO:0010014	meristem initiation
Arabidopsis thaliana	eukaryota	3702	AT1G30610	GO:0009793	embryo development ending in seed dormancy
Arabidopsis thaliana	eukaryota	3702	AT1G30825	GO:0010090	trichome morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G30950	GO:0009933	meristem structural organization
Arabidopsis thaliana	eukaryota	3702	AT1G31140	GO:0080060	integument development
Arabidopsis thaliana	eukaryota	3702	AT1G31140	GO:0048530	fruit morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G31340	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G31810	GO:0009556	microsporogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G31814	GO:0010228	vegetative to reproductive phase transition of meristem
Arabidopsis thaliana	eukaryota	3702	AT1G31880	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G31880	GO:0048527	lateral root development
Arabidopsis thaliana	eukaryota	3702	AT1G31930	GO:0048364	root development
Arabidopsis thaliana	eukaryota	3702	AT1G32230	GO:0010102	lateral root morphogenesis
Arabidopsis thaliana	eukaryota	3702	AT1G32230	GO:0009790	embryo development
Arabidopsis thaliana	eukaryota	3702	AT1G32240	GO:0009944	polarity specification of adaxial/abaxial axis
Arabidopsis thaliana	eukaryota	3702	AT1G32240	GO:0048440	carpel development
